Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f	S16g	S16h
JUDr. Ľuboš Baka	0	0	2011 - 2013	Okresný súd Žiar nad Hronom 	Okresný súd Žiar nad Hronom 	Okresný súd Levice, Okresný súd Žiar nad Hronom 	2011 - Okresný súd Žiar nad Hronom ; 2012 - Okresný súd Žiar nad Hronom ; 2013 - Okresný súd Levice, Okresný súd Žiar nad Hronom 	bola prideľovaná najmä Trestná agenda	0	0	1	643	rozhodoval najmä v Trestnej agende	0	0	1	643	651	103	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 46,7 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	45	21	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,7 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 233 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 83 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 31 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 37,3 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 96,3 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 24 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 203. - 218. mieste. Za kvalitu získal 6,75 z 15 možných bodov, za efektivitu 17,25 z 25.	"2013 - Predseda OS od 1.6.2013 (preložený z OS Žiar nad Hronom). Agendu Pp, Nt - Želiezovce vybavuje v súlade s Dodatkom č.5/2013 pod SPR 677/2013 účinným od 13.6.2013. Agendu T vybavuje  v súlade s Dodatkom č.8/2013 - časť II. s účinnosťou od 15.08.2013.
"	2011 - Uvedený sudca sa nezúčastnil žiadneho vzdelávacieho podujatia. ; 2012 - Uvedený sudca sa nezúčastnil žiadneho vzdelávacieho podujatia.; 2013 - Nevykazujeme účasť.; Sudca sa nezúčastnil žiadneho vzdelávacieho seminára.		2011 - Uvedený sudca sa nezúčastnil žiadneho vzdelávacieho podujatia. 		2012 - Uvedený sudca sa nezúčastnil žiadneho vzdelávacieho podujatia.	"2013 - Predseda OS od 1.6.2013 (preložený z OS Žiar nad Hronom). Agendu Pp, Nt - Želiezovce vybavuje v súlade s Dodatkom č.5/2013 pod SPR 677/2013 účinným od 13.6.2013. Agendu T vybavuje  v súlade s Dodatkom č.8/2013 - časť II. s účinnosťou od 15.08.2013.
"	2013 - Nevykazujeme účasť.; Sudca sa nezúčastnil žiadneho vzdelávacieho seminára.
JUDr. Ľubov Vargová	0	0	2011 - 2013	Okresný súd Prešov	Okresný súd Prešov	Okresný súd Vranov nad Topľou , Okresný súd Prešov	2011 - Okresný súd Prešov; 2012 - Okresný súd Prešov; 2013 - Okresný súd Vranov nad Topľou , Okresný súd Prešov	bola prideľovaná najmä agenda Starostlivosti o maloletých	497	0	741	0	rozhodoval najmä v agende Starostlivosti o maloletých	497	0	741	0	628	228	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 71,8 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	39	28	Odvolanie proti rozhodnutiam sudcu je podávané v približne 3,2 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 0,9 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Odhadovaná priemerná dĺžka konania sporu je 321 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 398 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 193 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 46,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 71,3 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 18,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 490. - 500. mieste. Za kvalitu získal 10 z 15 možných bodov, za efektivitu 8,75 z 25.	"2013 - Nástup na Okresný súd Vranov nad Topľou - 1.4.2013; 15.2.2013 zastavený nápad z dôvodu pridelenia sudkyne od 1.4.2013 na iný súd
od 1.4.2013 pridelená na Okresný súd Vranov nad Topľou ako sudkyňa"	"2011 - 2; 2012 - 3; 2013 - 16.10.2013 - Krajský súd Košice - Dokazovanie, doručovanie v civilnom konaní (Košice,Prešov)

30. - 31.10.2013 - Seminár sudcov - Stará Lesná"		2011 - 2		2012 - 3	"2013 - Nástup na Okresný súd Vranov nad Topľou - 1.4.2013; 15.2.2013 zastavený nápad z dôvodu pridelenia sudkyne od 1.4.2013 na iný súd
od 1.4.2013 pridelená na Okresný súd Vranov nad Topľou ako sudkyňa"	"2013 - 16.10.2013 - Krajský súd Košice - Dokazovanie, doručovanie v civilnom konaní (Košice,Prešov)

30. - 31.10.2013 - Seminár sudcov - Stará Lesná"
JUDr. Martin Kopina	0	0	2011 - 2013	Okresný súd Humenné	Okresný súd Humenné	Okresný súd Vranov nad Topľou , Okresný súd Humenné	2011 - Okresný súd Humenné; 2012 - Okresný súd Humenné; 2013 - Okresný súd Vranov nad Topľou , Okresný súd Humenné	bola prideľovaná najmä Občiansko-právna agenda	702	54	26	122	rozhodoval najmä v Občiansko-právnej agende	702	54	26	122	658	188	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 63,6 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	44	28	Odvolanie proti rozhodnutiam sudcu je podávané v približne 4,9 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,8 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 284 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 388 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 156 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 29,8 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 58,9 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 19,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 438. - 457. mieste. Za kvalitu získal 8,75 z 15 možných bodov, za efektivitu 11 z 25.	"2011 - od 1.9.2011 pridelný nápad v agende Cb 1/2,
od l.9.2011 znížený nápad v agende C na 2/3; 2012 - od 1.1.2012 do 31.3.2012 nápad v agende C a Cb po 1/2
od 1.4.2012 do 30.6.2012 pozastavený výkon vo všetkých agendách z dôvodu prípravy na rozhodovanie v agende T; 2013 - Na základe Dodatku č. 9 k RP na rok 2013, od 5.11.2013 pozastavený nápad, z dôvodu naštudovania obtiažnej trestnej veci obžalovaného Antona Figeľa, sp. zn. 2T/174/2011.; od 01. 02. 2013 preložený  na OS Vranov nad Topľou a spisy prerozdelené"	2012 - odborný seminár 2 dni; 2013 - 30. - 31.10.2013 Seminár sudcov - Stará Lesná	"2011 - od 1.9.2011 pridelný nápad v agende Cb 1/2,
od l.9.2011 znížený nápad v agende C na 2/3"		"2012 - od 1.1.2012 do 31.3.2012 nápad v agende C a Cb po 1/2
od 1.4.2012 do 30.6.2012 pozastavený výkon vo všetkých agendách z dôvodu prípravy na rozhodovanie v agende T"	2012 - odborný seminár 2 dni	2013 - Na základe Dodatku č. 9 k RP na rok 2013, od 5.11.2013 pozastavený nápad, z dôvodu naštudovania obtiažnej trestnej veci obžalovaného Antona Figeľa, sp. zn. 2T/174/2011.; od 01. 02. 2013 preložený  na OS Vranov nad Topľou a spisy prerozdelené	2013 - 30. - 31.10.2013 Seminár sudcov - Stará Lesná
JUDr. Natália Kolláriková	2	2	2011 - 2013	Okresný súd Piešťany, Okresný súd Bratislava V	Okresný súd Bratislava V	Okresný súd Bratislava V	2011 - Okresný súd Piešťany, Okresný súd Bratislava V; 2012 - Okresný súd Bratislava V; 2013 - Okresný súd Bratislava V	bola prideľovaná najmä Občiansko-právna agenda	751	73	140	0	rozhodoval najmä v Občiansko-právnej agende	751	73	140	0	569	242	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 60,9 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	23	14	Odvolanie proti rozhodnutiam sudcu je podávané v približne 2,4 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 0,9 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 449 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 363 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 92 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 23 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 75,6 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 21,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 346. - 354. mieste. Za kvalitu získal 9,75 z 15 možných bodov, za efektivitu 11,75 z 25.	2011 - Zákon 757/2004 Z.z. o súdoch a o zmene a doplnení niektorých zákonov - §51 ods. 4 písm. b/; 2012 - Znížený nápad v agende C z dôvodu vybavovania agendy P.	"2011 - 
SEMINÁR - 2 dni; 2012 - Seminár - 2 dni; 2013 - 
Seminár - 2 dni"	2011 - Zákon 757/2004 Z.z. o súdoch a o zmene a doplnení niektorých zákonov - §51 ods. 4 písm. b/	"2011 - 
SEMINÁR - 2 dni"	2012 - Znížený nápad v agende C z dôvodu vybavovania agendy P.	2012 - Seminár - 2 dni		"2013 - 
Seminár - 2 dni"
JUDr. Rastislav Sikorjak	0	0	2011 - 2013	Okresný súd Revúca	Okresný súd Revúca	Okresný súd Revúca, Okresný súd Prešov	2011 - Okresný súd Revúca; 2012 - Okresný súd Revúca; 2013 - Okresný súd Revúca, Okresný súd Prešov	bola prideľovaná najmä Občiansko-právna agenda	541	97	258	17	rozhodoval najmä v Občiansko-právnej agende	541	97	258	17	619	244	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 72,9 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	48	35	Odvolanie proti rozhodnutiam sudcu je podávané v približne 5,3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,4 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 775 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 699 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 485 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 65,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 68,4 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 13 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 670. - 675. mieste. Za kvalitu získal 11 z 15 možných bodov, za efektivitu 2 z 25.	2011 - Sudcovi v sledovanom období nebol znížený nápad.; 2012 - Sudcovi v sledovanom období nebol znížený nápad.; 2013 - od 1.10.2013 sudca Okresného súdu Prešov	"2011 - 20. 9. 2011 - Rokovanie správneho kolégia Krajského súdu v Banskej Bystrici, Krajský súd v Banskej Bystrici

19. 10. 2011 -  Rokovanie obchodnoprávneho kolégia Krajského súdu v Banskej Bystrici a porada sudcov okresných súdov vybavujúcich obchodné veci, Krajský súd v Banskej Bystrici
; 2012 - 4 dni - účasť na pracovných stretnutiach; 2013 - 4 dni - účasť na vzdelávacom podujatí; 2"	2011 - Sudcovi v sledovanom období nebol znížený nápad.	"2011 - 20. 9. 2011 - Rokovanie správneho kolégia Krajského súdu v Banskej Bystrici, Krajský súd v Banskej Bystrici

19. 10. 2011 -  Rokovanie obchodnoprávneho kolégia Krajského súdu v Banskej Bystrici a porada sudcov okresných súdov vybavujúcich obchodné veci, Krajský súd v Banskej Bystrici
"	2012 - Sudcovi v sledovanom období nebol znížený nápad.	2012 - 4 dni - účasť na pracovných stretnutiach	2013 - od 1.10.2013 sudca Okresného súdu Prešov	2013 - 4 dni - účasť na vzdelávacom podujatí; 2
JUDr. Tatiana Redenkovičová	1	0	2011 - 2013	Okresný súd Bratislava I	Okresný súd Bratislava I	Okresný súd Bratislava IV, Okresný súd Bratislava I	2011 - Okresný súd Bratislava I; 2012 - Okresný súd Bratislava I; 2013 - Okresný súd Bratislava IV, Okresný súd Bratislava I	bola prideľovaná najmä Občiansko-právna agenda	633	0	0	0	rozhodoval najmä v Občiansko-právnej agende	633	0	0	0	610	153	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 61 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	59	36	Odvolanie proti rozhodnutiam sudcu je podávané v približne 9,3 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,6 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 1374 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 689 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 568 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 75,2 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 39,7 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 7,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 731. - 732. mieste. Za kvalitu získal 7,25 z 15 možných bodov, za efektivitu 0 z 25.		2012 - Seminár - 3 dni				2012 - Seminár - 3 dni		
JUDr. Vladimír Varga	0	0	2011 - 2013	Okresný súd Vranov nad Topľou 	Okresný súd Vranov nad Topľou 	Okresný súd Humenné, Okresný súd Vranov nad Topľou 	2011 - Okresný súd Vranov nad Topľou ; 2012 - Okresný súd Vranov nad Topľou ; 2013 - Okresný súd Humenné, Okresný súd Vranov nad Topľou 	bola prideľovaná najmä Občiansko-právna agenda	914	0	1	355	rozhodoval najmä v Občiansko-právnej agende	914	0	1	355	645	260	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 43,5 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	46	20	Odvolanie proti rozhodnutiam sudcu je podávané v približne 3,6 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 94 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 52 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 17 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 30,4 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 83,1 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 22,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 269. - 285. mieste. Za kvalitu získal 5 z 15 možných bodov, za efektivitu 17,75 z 25.	2013 - od 01.02. 2013 sudca preložený z OS Vranov nad Topľou; Koniec vyko návania sudcu na Okresnom súde vo Vranove nad Topľou a pridelenie na Okresný súd v Humennom.	"2011 - 07. 04. 2011 - školenie Trenčianské Teplice - Omšenie
18. 04. 2011 - školenie Trenčianske Teplice - Omšenie
22. 09.  - 23. 09. 2011 - školenie Trenčianske Teplice - Omšenie 
24. 11. 2011- školenie sudcov C, Cb na Krajskom súde v Prešove; 2012 - 1. 17. 05. 2012 - Krajský súd Košice - Odstrániteľnéúneodstrániteľné vady návrhu, podania.
2. 28. 05. 2012 - Krajský súdKošice - Prejudiciálna otázka podľa čl. 267 Zmluvy o fungovaní EÚ v trestnom konaní súdnom.. 
3. 13. 09. 2012 - Krajský súd Košice - Najnopvšia judikatúra ESĽP a jej dôsledky na rozhodovaciu činnosť vnútroštátnych súdov.   ; 2013 - 28-29. 10. 2013 odborný seminár v Omšení - 2 dní,  od 30-31. 10. 2013 školenie sudcov Prešov - 2 dní."		"2011 - 07. 04. 2011 - školenie Trenčianské Teplice - Omšenie
18. 04. 2011 - školenie Trenčianske Teplice - Omšenie
22. 09.  - 23. 09. 2011 - školenie Trenčianske Teplice - Omšenie 
24. 11. 2011- školenie sudcov C, Cb na Krajskom súde v Prešove"		"2012 - 1. 17. 05. 2012 - Krajský súd Košice - Odstrániteľnéúneodstrániteľné vady návrhu, podania.
2. 28. 05. 2012 - Krajský súdKošice - Prejudiciálna otázka podľa čl. 267 Zmluvy o fungovaní EÚ v trestnom konaní súdnom.. 
3. 13. 09. 2012 - Krajský súd Košice - Najnopvšia judikatúra ESĽP a jej dôsledky na rozhodovaciu činnosť vnútroštátnych súdov.   "	2013 - od 01.02. 2013 sudca preložený z OS Vranov nad Topľou; Koniec vyko návania sudcu na Okresnom súde vo Vranove nad Topľou a pridelenie na Okresný súd v Humennom.	2013 - 28-29. 10. 2013 odborný seminár v Omšení - 2 dní,  od 30-31. 10. 2013 školenie sudcov Prešov - 2 dní.
Mgr. Ján Stanček	2	0	2011 - 2013	Okresný súd Pezinok, Okresný súd Bratislava III	Okresný súd Pezinok	Okresný súd Pezinok	2011 - Okresný súd Pezinok, Okresný súd Bratislava III; 2012 - Okresný súd Pezinok; 2013 - Okresný súd Pezinok	bola prideľovaná najmä Obchodná agenda	252	445	0	0	rozhodoval najmä v Obchodnej agende	252	445	0	0	655	195	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 55,4 % prípadoch, pričom priemer v SR v rovnakej agende je 63,7 %.	74	41	Odvolanie proti rozhodnutiam sudcu je podávané v približne 10,6 % prípadoch. Priemer v SR je v rovnakej agende 9,7 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 4,7 %, pričom priemer v SR v rovnakej agende je 3,4 %.	Odhadovaná priemerná dĺžka konania sporu je 829 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 461 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 463 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 65,4 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 79 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 7,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 729. - 730. mieste. Za kvalitu získal 4,75 z 15 možných bodov, za efektivitu 2,75 z 25.		"2011 - Majetkové práva - 1 deň
Premlčanie, preklúzia - 1 deň
; 2013 - seminár -  22.-23.4.2013, 16.-17.05.2013"		"2011 - Majetkové práva - 1 deň
Premlčanie, preklúzia - 1 deň
"				2013 - seminár -  22.-23.4.2013, 16.-17.05.2013
Attila Csaba	0	0	2011 - 2013	Okresný súd Komárno	Okresný súd Komárno	Okresný súd Komárno	2011 - Okresný súd Komárno; 2012 - Okresný súd Komárno; 2013 - Okresný súd Komárno	bola prideľovaná najmä Občiansko-právna agenda	932	0	435	0	rozhodoval najmä v Občiansko-právnej agende	932	0	435	0	590	228	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 43,3 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	30	13	Odvolanie proti rozhodnutiam sudcu je podávané v približne 2,2 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,2 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 230 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 329 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 157 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 44,4 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 118,3 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 19,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 458. - 472. mieste. Za kvalitu získal 5,5 z 15 možných bodov, za efektivitu 14 z 25.	2012 - Nebol dôvod na zníženie nápadu. Sudcovi agenda P podľa rozvrhu práce bola prideľovaná v 1/4-ine, agenda C v 1/19-ine , agenda Ro v 1/19-ine, D v 1/4-ine a Er v 1/9-ine. ; 2013 - Nebol dôvod na zníženie nápadu. Podľa rozvrhu práce  v dôsledku výrazne zvýšeného nápadu vecí v agende C bol pomer  pridelených vecí  viackrát zmenený :z nápadu 1/6 na 5/31 a potom od 22.10. 2013 na 1/35, agenda Cpr bola prideľovaná v 1/6-ine potom v 1/7-ine,  agenda Ro v 1/6-ine  a od  22.3. 2013 v 1/35-ine a agenda Er v 1/9-ine a od 22.03.2013 v 1/10-ine.	2012 - Sudca sa nezúčastnil žiadnych vzdelávacích aktivít.; 2013 - Sudca sa nezúčastnil žiadnych aktivít.			2012 - Nebol dôvod na zníženie nápadu. Sudcovi agenda P podľa rozvrhu práce bola prideľovaná v 1/4-ine, agenda C v 1/19-ine , agenda Ro v 1/19-ine, D v 1/4-ine a Er v 1/9-ine. 	2012 - Sudca sa nezúčastnil žiadnych vzdelávacích aktivít.	2013 - Nebol dôvod na zníženie nápadu. Podľa rozvrhu práce  v dôsledku výrazne zvýšeného nápadu vecí v agende C bol pomer  pridelených vecí  viackrát zmenený :z nápadu 1/6 na 5/31 a potom od 22.10. 2013 na 1/35, agenda Cpr bola prideľovaná v 1/6-ine potom v 1/7-ine,  agenda Ro v 1/6-ine  a od  22.3. 2013 v 1/35-ine a agenda Er v 1/9-ine a od 22.03.2013 v 1/10-ine.	2013 - Sudca sa nezúčastnil žiadnych aktivít.
Daniela Terenová	0	0	2011 - 2013	Okresný súd Bratislava II 	Okresný súd Bratislava II 	Okresný súd Bratislava II 	2011 - Okresný súd Bratislava II ; 2012 - Okresný súd Bratislava II ; 2013 - Okresný súd Bratislava II 	bola prideľovaná najmä agenda Starostlivosti o maloletých	0	0	1091	0	rozhodoval najmä v agende Starostlivosti o maloletých	0	0	1091	0	625	160	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 63,8 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	94	60	Odvolanie proti rozhodnutiam sudcu je podávané v približne 8,6 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,1 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Odhadovaná priemerná dĺžka konania sporu je 10 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 6 prípadov. Priemer v SR bol 238.	Dáta o reštančných prípadoch považujeme za málo reprezentatívne a preto ich neprezentujeme.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 132 % prípadov. Priemer v SR bol 99,6 %.	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	2011 - sudca nemá znížený nápad; 2012 - SSudca nemal znížený nápad.; 2013 - Od 1.10.2013 zastavený nápad z dôvodu plánovaného odchodu sudkyne do dôchodku.	2011 - sudca sa nezúčastnil žiadnych vzdelávacích aktivít; 2012 - Sudca sa nezúčastnil na žiadnej vzdelávacej aktivite.	2011 - sudca nemá znížený nápad	2011 - sudca sa nezúčastnil žiadnych vzdelávacích aktivít	2012 - SSudca nemal znížený nápad.	2012 - Sudca sa nezúčastnil na žiadnej vzdelávacej aktivite.	2013 - Od 1.10.2013 zastavený nápad z dôvodu plánovaného odchodu sudkyne do dôchodku.	
Ján Bodnár	0	0	2011 - 2013	Okresný súd Rimavská Sobota	Okresný súd Rimavská Sobota	Okresný súd Rimavská Sobota	2011 - Okresný súd Rimavská Sobota; 2012 - Okresný súd Rimavská Sobota; 2013 - Okresný súd Rimavská Sobota	bola prideľovaná najmä Trestná agenda	0	0	0	775	rozhodoval najmä v Trestnej agende	0	0	0	775	659	114	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 60,8 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	74	45	Odvolanie proti rozhodnutiam sudcu je podávané v približne 9,5 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,7 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 39 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 26 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 20 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 46,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 108,4 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 27,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 84. - 92. mieste. Za kvalitu získal 8,25 z 15 možných bodov, za efektivitu 19 z 25.		"2011 - Ako poslucháč - 2 dni - seminár Kultivácia osobnosti - I. a II. časť - Banská Bystricia, 2 dni - pracovné stretnutie sudcov trestnoprávneho kolégia v pôsobnosti Krajského súdu v Banskej Bystrici v Omšení - zjednotenie postupu a stanovísk sudcov jednotlivých súdov, 1 deň - zasadnutie trestnoprávneho grémia sudcov OS Rimavská Sobota, OS Lučenec a OS Veľký Krtíš v Lučenci
; 2012 - zasadnutia trestnoprávneho grémia v Omšení - 3 dni; 2013 - pracovné stretnutie sudcov obvodu Krajského súdu v Banskej Bystrici v Omšení - 2 dni"		"2011 - Ako poslucháč - 2 dni - seminár Kultivácia osobnosti - I. a II. časť - Banská Bystricia, 2 dni - pracovné stretnutie sudcov trestnoprávneho kolégia v pôsobnosti Krajského súdu v Banskej Bystrici v Omšení - zjednotenie postupu a stanovísk sudcov jednotlivých súdov, 1 deň - zasadnutie trestnoprávneho grémia sudcov OS Rimavská Sobota, OS Lučenec a OS Veľký Krtíš v Lučenci
"		2012 - zasadnutia trestnoprávneho grémia v Omšení - 3 dni		2013 - pracovné stretnutie sudcov obvodu Krajského súdu v Banskej Bystrici v Omšení - 2 dni
